District,City,Latitude,Longitude
Abşeron,Abşeron,40.362969,49.273682
Aran,Ağcabədi,40.05296,47.455353
Yuxarı Qarabağ,Ağdam,40.05296,46.937652
Aran,Ağdaş,40.633543,47.467431
Gəncə-Qazax,Ağstafa,41.112497,45.447689
Dağlıq-Şirvan,Ağsu,40.57423,48.38964
Lənkəran,Astara,38.468783,48.872803
Naxçıvan,Babək,39.150761,45.448537
Şəki-Zaqatala,Balakən,41.703751,46.404421
Aran,Bərdə,40.370655,47.137891
Aran,Beyləqan,39.772307,47.615417
Aran,Biləsuvar,39.459883,48.550981
Bakı,Binəqədi,40.474278,49.825555
Yuxarı Qarabağ,Cəbrayıl,39.398677,47.024523
Lənkəran,Cəlilabad,39.205163,48.51006
Naxçıvan,Culfa,38.960498,45.629294
Gəncə-Qazax,Daşkəsən,40.520226,46.07793
Yuxarı Qarabağ,Füzuli,39.602476,47.15234
Gəncə-Qazax,Gədəbəy,40.569964,45.810688
Gəncə-Qazax,Gəncə,40.687858,46.372331
Gəncə-Qazax,Goranboy,40.607316,46.780713
Aran,Göyçay,40.623617,47.740303
Gəncə-Qazax,Göygöl,40.589526,46.327138
Aran,Hacıqabul,40.039377,48.920253
Naxçıvan,Heydərabad,39.72314,44.847666
Aran,İmişli,39.869469,48.066522
Dağlıq-Şirvan,İsmayıllı,40.787144,48.152343
Kəlbəcər-Laçın,Kəlbəcər,40.102433,46.036487
Naxçıvan,Kəngərli,39.387194,45.163985
Aran,Kürdəmir,40.369865,48.164463
Kəlbəcər-Laçın,Laçın,39.638341,46.546085
Lənkəran,Lənkəran,38.752867,48.847502
Lənkəran,Lerik,38.773619,48.415148
Lənkəran,Masallı,39.034072,48.658935
Aran,Mingəçevir,40.770256,47.049601
Gəncə-Qazax,Naftalan,40.507563,46.823979
Naxçıvan,Naxçıvan,39.200913,45.408227
Aran,Neftçala,39.388105,49.241374
Bakı,Nərimanov,40.409123,49.864765
Bakı,Nəsimi,40.392572,49.831537
Bakı,Nizami,40.410696,49.927778
Şəki-Zaqatala,Oğuz,41.072792,47.465067
Naxçıvan,Ordubad,38.902162,46.023762
Bakı,Pirallahı,40.474685,50.333445
Bakı,Qaradağ,40.298718,49.706306
Şəki-Zaqatala,Qax,41.420683,46.932018
Gəncə-Qazax,Qazax,41.097107,45.351633
Şəki-Zaqatala,Qəbələ,40.998163,47.869983
Dağlıq-Şirvan,Qobustan,40.087796,49.403022
Quba-Xaçmaz,Quba,41.364302,48.526093
Kəlbəcər-Laçın,Qubadlı,39.2714,46.635431
Quba-Xaçmaz,Qusar,41.426689,48.434558
Aran,Saatlı,39.90955,48.359512
Aran,Sabirabad,39.987066,48.469255
Quba-Xaçmaz,Şabran,41.215983,48.994559
Bakı,Sabunçu,40.452027,49.932411
Naxçıvan,Şahbuz,39.405577,45.569057
Aran,Salyan,39.577914,48.971859
Dağlıq-Şirvan,Şamaxı,40.631873,48.63638
Gəncə-Qazax,Samux,40.760463,46.406318
Bakı,Səbail,40.333527,49.825044
Şəki-Zaqatala,Şəki,41.197475,47.157124
Gəncə-Qazax,Şəmkir,40.828814,46.016688
Naxçıvan,Şərur,39.553633,44.984568
Aran,Şirvan,39.926575,48.920573
Quba-Xaçmaz,Siyəzən,41.078383,49.111848
Abşeron,Sumqayıt,40.585476,49.631741
Bakı,Suraxanı,40.387228,50.020888
Yuxarı Qarabağ,Şuşa,39.753744,46.746475
Yuxarı Qarabağ,Tərtər,40.344388,46.937652
Gəncə-Qazax,Tovuz,40.995452,45.616591
Aran,Ucar,40.506752,47.648964
Quba-Xaçmaz,Xaçmaz,41.459117,48.802063
Yuxarı Qarabağ,Xankəndi,39.826528,46.765575
Bakı,Xətai,40.378523,49.945104
Bakı,Xəzər,40.438443,50.161417
Abşeron,Xızı,40.910949,49.072926
Yuxarı Qarabağ,Xocalı,39.913255,46.794305
Yuxarı Qarabağ,Xocavənd,39.706029,47.064533
Lənkəran,Yardımlı,38.905892,48.249613
Bakı,Yasamal,40.37814,49.811454
Aran,Yevlax,40.619664,47.150032
Şəki-Zaqatala,Zaqatala,41.603085,46.638308
Kəlbəcər-Laçın,Zəngilan,39.08569,46.652473
Aran,Zərdab,40.214811,47.714944
