LATITUDE,LONGITUDE,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,PHOTO_URL
39.6678,47.6073,324.8,3.3,1.7,2022-02-02,824,Terra,MODIS,83,6.03,289.7,123.8,D,0.0,/PhotoFile4Wildfire/39.6678_47.6073_83.png
39.6789,47.6176,325.9,3.3,1.7,2022-02-02,824,Terra,MODIS,84,6.03,288.4,134.5,D,0.0,/PhotoFile4Wildfire/39.6789_47.6176_84.png
41.1977,48.8177,330.8,1.4,1.2,2022-08-16,710,Terra,MODIS,53,6.03,316.4,20.0,D,0.0,/PhotoFile4Wildfire/41.1977_48.8177_53.png
41.2148,48.8116,349.2,1.5,1.2,2022-08-16,1017,Aqua,MODIS,93,6.03,315.6,78.4,D,0.0,/PhotoFile4Wildfire/41.2148_48.8116_93.png
41.2115,48.7998,374.2,1.5,1.2,2022-08-16,1017,Aqua,MODIS,100,6.03,320.2,204.3,D,0.0,/PhotoFile4Wildfire/41.2115_48.7998_100.png
41.2132,48.8174,341.2,1.5,1.2,2022-08-16,1017,Aqua,MODIS,85,6.03,314.8,49.1,D,0.0,/PhotoFile4Wildfire/41.2132_48.8174_85.png
41.2025,48.8199,374.3,1.5,1.2,2022-08-16,1017,Aqua,MODIS,100,6.03,320.8,203.8,D,0.0,/PhotoFile4Wildfire/41.2025_48.8199_100.png
41.2131,48.794,347.4,1.5,1.2,2022-08-16,1017,Aqua,MODIS,92,6.03,317.7,70.0,D,0.0,/PhotoFile4Wildfire/41.2131_48.794_92.png
41.0042,45.1702,327.9,1.7,1.3,2022-08-29,944,Aqua,MODIS,45,6.03,309.9,22.9,D,0.0,/PhotoFile4Wildfire/41.0042_45.1702_45.png
39.7286,46.473,332.0,1.0,1.0,2022-09-03,1000,Aqua,MODIS,72,6.03,317.7,15.3,D,0.0,/PhotoFile4Wildfire/39.7286_46.473_72.png
41.118,47.4348,312.9,3.7,1.8,2022-09-05,823,Terra,MODIS,43,6.03,291.4,50.2,D,0.0,/PhotoFile4Wildfire/41.118_47.4348_43.png
39.7264,46.4762,326.4,1.4,1.2,2022-09-05,947,Aqua,MODIS,56,6.03,311.8,18.1,D,0.0,/PhotoFile4Wildfire/39.7264_46.4762_56.png
41.1103,47.422,346.3,1.2,1.1,2022-09-05,948,Aqua,MODIS,92,6.03,301.2,61.3,D,0.0,/PhotoFile4Wildfire/41.1103_47.422_92.png
40.9587,45.7783,320.3,1.0,1.0,2022-09-13,734,Terra,MODIS,70,6.03,302.6,9.3,D,0.0,/PhotoFile4Wildfire/40.9587_45.7783_70.png
39.6371,46.0791,353.4,1.0,1.0,2022-09-13,735,Terra,MODIS,96,6.03,314.0,58.3,D,0.0,/PhotoFile4Wildfire/39.6371_46.0791_96.png
39.8721,45.912,315.6,1.0,1.0,2022-09-13,735,Terra,MODIS,35,6.03,302.3,6.9,D,0.0,/PhotoFile4Wildfire/39.8721_45.912_35.png
39.6282,46.0769,327.3,1.0,1.0,2022-09-13,735,Terra,MODIS,57,6.03,312.3,13.7,D,0.0,/PhotoFile4Wildfire/39.6282_46.0769_57.png
39.6355,46.0906,372.9,1.0,1.0,2022-09-13,735,Terra,MODIS,100,6.03,313.5,115.2,D,0.0,/PhotoFile4Wildfire/39.6355_46.0906_100.png
39.6453,46.0876,360.1,1.0,1.0,2022-09-13,735,Terra,MODIS,100,6.03,309.3,76.0,D,0.0,/PhotoFile4Wildfire/39.6453_46.0876_100.png
39.7278,46.0231,324.4,1.0,1.0,2022-09-13,735,Terra,MODIS,70,6.03,301.9,13.7,D,0.0,/PhotoFile4Wildfire/39.7278_46.0231_70.png
39.8689,45.7344,327.6,1.0,1.0,2022-09-13,735,Terra,MODIS,71,6.03,306.9,18.3,D,0.0,/PhotoFile4Wildfire/39.8689_45.7344_71.png
40.28,47.3147,313.6,1.1,1.1,2022-09-15,722,Terra,MODIS,43,6.03,299.2,6.0,D,0.0,/PhotoFile4Wildfire/40.28_47.3147_43.png
39.7443,46.2918,327.1,4.3,1.9,2022-09-28,829,Terra,MODIS,80,6.03,304.1,149.7,D,0.0,/PhotoFile4Wildfire/39.7443_46.2918_80.png
39.7277,46.286,334.5,4.3,1.9,2022-09-28,829,Terra,MODIS,86,6.03,305.9,229.8,D,0.0,/PhotoFile4Wildfire/39.7277_46.286_86.png
39.693,46.1383,323.1,1.5,1.2,2022-09-28,947,Aqua,MODIS,68,6.03,299.2,26.3,D,0.0,/PhotoFile4Wildfire/39.693_46.1383_68.png
39.727,46.1488,323.6,2.8,1.6,2022-09-30,817,Terra,MODIS,74,6.03,296.3,72.8,D,0.0,/PhotoFile4Wildfire/39.727_46.1488_74.png
39.3249,46.5209,328.3,3.0,1.6,2022-09-30,817,Terra,MODIS,80,6.03,299.4,106.6,D,0.0,/PhotoFile4Wildfire/39.3249_46.5209_80.png
39.3387,46.5278,329.1,3.0,1.6,2022-09-30,817,Terra,MODIS,77,6.03,300.9,105.7,D,0.0,/PhotoFile4Wildfire/39.3387_46.5278_77.png
39.7297,46.1586,332.8,2.8,1.6,2022-09-30,817,Terra,MODIS,84,6.03,297.2,122.2,D,0.0,/PhotoFile4Wildfire/39.7297_46.1586_84.png
39.3325,46.5097,324.7,2.2,1.4,2022-09-30,935,Aqua,MODIS,52,6.03,301.6,49.2,D,0.0,/PhotoFile4Wildfire/39.3325_46.5097_52.png
39.7361,46.1384,325.5,2.2,1.4,2022-09-30,935,Aqua,MODIS,75,6.03,295.4,60.2,D,0.0,/PhotoFile4Wildfire/39.7361_46.1384_75.png
